date,group,prefix_end,scope,mode,donors,reference_bytes,candidate_bytes,plan_bytes,net_gain_bytes,compress_seconds,max_rss_kib,decompress_seconds,roundtrip,status,notes
2026-08-12,3,4195514,isolated_recipient,donor_profile,"2097920:16384;3080960:65536",126072,126012,25,35,637.50,8438132,625.28,exact,isolated_win,"Not cumulative acceptance"
2026-08-12,3,6291800,cumulative_first6,donor_profile,"2097920:16384;3080960:65536",855173,,98,,5403,8624992,,not_run,timeout,"No completed archive; decompression correctly skipped"
2026-08-12,3,6291800,cumulative_first6_completed,donor_profile,"2097920:16384;3080960:65536",855173,855230,98,-57,3144.66,8262724,,not_run,rejected_loss,"Completed later run; candidate bytes already include embedded plan; outside-group traces identical"
2026-08-12,4,5243475,screened,donor_profile,,,,,,,,not_run,no_candidates,"Ranker found zero causal same-class donor candidates; G4 is first mixed-class group, no prior mixed-class content exists before it; no SCR2 test performed (no driver script built yet)"
2026-08-12,5,6291800,cumulative_first6,donor_profile,"4195584:1024",855173,854810,91,363,5927.54,,4550.68,exact,accepted_win,"First real cumulative win. Reused known baseline 855173 from prior G3 cumulative_first6 test (identical prefix, baseline never includes a donor plan). Donor distance ~1,047,867 bytes from recipient (non-adjacent). archive_sha256=ab988693a74da0455fa77e5cbdd04c0c4a37d55e88c87e5c56387ca687fed642"
2026-08-12,6,7342355,cumulative,donor_profile,"4195584:1024;4129792:65536",1091297,1091332,120,-35,2431.14,,,not_run,rejected_loss,"Reference includes accepted G5 donor. Candidate adds G6 donor at distance ~2,096,472 bytes (non-adjacent, phrase_score=33 tied-top). Lost by 35 bytes including 120-byte plan (vs 91-byte reference plan, so ~29-byte gap is pure plan-size growth from adding a second profile slot). Decompression correctly skipped (candidate not smaller than reference)."
2026-08-12,7,8392535,cumulative,donor_profile,"4195584:1024;1048320:65536",1314131,1314190,120,-59,3669.30,,,not_run,rejected_loss,"Reference includes accepted G5 donor. Candidate adds G7 donor at distance ~6,228,499 bytes (non-adjacent, tied-top phrase_score=31; chosen over tied pick 4129792:65536 specifically because that exact donor already lost for G6, to test fresh content instead of retrying a recent loser). Lost by 59 bytes including 120-byte plan (vs 91-byte reference plan). Decompression correctly skipped (candidate not smaller than reference). First trial run entirely in foreground via task-tracked background command (no WSL-level nohup/setsid), relaunched after an earlier unexplained ~2h scheduling gap; reference.fx4 and all other campaign files verified untouched throughout the incident."
2026-08-13,8,9447260,cumulative,donor_profile,"4195584:1024;1540096:65536",1520859,1520899,120,-40,3326.47,,,not_run,rejected_loss,"Reference includes accepted G5 donor. Candidate adds G8 donor at distance ~6,786,903 bytes (non-adjacent; top-ranked candidate 8326912:65536 discarded as adjacent ~87 bytes away; next tier tied at phrase_score=39 included donors that already lost for G6 and G7, skipped those to diversify). Lost by 40 bytes including 120-byte plan (vs 91-byte reference plan). Decompression correctly skipped. Candidate run was interrupted once mid-flight (~3 min in) when the Windows-side Claude Code host process restarted -- WSL itself stayed up continuously throughout, confirmed via uptime; cleanly relaunched and completed on the second attempt."
2026-08-13,9,10494038,cumulative,donor_profile,"4195584:1024;5759488:16384",1757299,1757350,120,-51,4201.94,,,not_run,rejected_loss,"Reference includes accepted G5 donor. G9 is a mixed-class group (same class as G4, which had zero candidates); ranker found exactly one causal same-class candidate this time: donor 5759488:16384, distance ~3,671,388 bytes (non-adjacent), phrase_score=22 (much lower than prior groups' top picks). Lost by 51 bytes including 120-byte plan (vs 91-byte reference plan) -- low score did not overcome the ~29-byte plan overhead. Decompression correctly skipped."
2026-08-13,10,11543054,cumulative,donor_profile,"4195584:1024;8326912:65536",1999731,1999789,120,-58,4278.37,,,not_run,rejected_loss,"Reference includes accepted G5 donor. Top candidate by far: donor 8326912:65536, distance ~2,101,590 bytes (non-adjacent), phrase_score=63 -- highest score tested in the campaign so far (previously discarded for G8 due to adjacency there, but valid distance for G10's different recipient). Still lost by 58 bytes including 120-byte plan (vs 91-byte reference plan). Decompression correctly skipped."
2026-08-13,11,12591020,cumulative,donor_profile,"4195584:1024;7834624:65536",2249584,2249678,120,-94,4491.04,,,not_run,rejected_loss,"Reference includes accepted G5 donor. Top candidate: donor 7834624:65536, distance ~3,642,894 bytes (non-adjacent), phrase_score=46. Lost by 94 bytes including 120-byte plan (vs 91-byte reference plan) -- largest loss margin in the campaign so far. Decompression correctly skipped. Sixth consecutive rejection since G5 (G6-G11)."
